Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Kansas Kiowa,Kansas,Kiowa County,90,2520,1,0,0,29.8,0,0.883778315
Kansas Labet,Kansas,Labette County,349,20835,0.945558739,0.054441261,0,59.9,0,0.883778315
Kansas Leave,Kansas,Leavenworth County,240,78785,0.983333333,0.016666667,0,34.3,0,0.883778315
Kansas Linco,Kansas,Lincoln County,238,3135,0.903361345,0.096638655,0,35.9,0,0.883778315
Kansas Logan,Kansas,Logan County,55,2800,0.981818182,0.018181818,0,40,0,0.883778315
Kansas McPhe,Kansas,McPherson County,581,29165,0.984509466,0.015490534,0,60,0,0.883778315
Kansas Mario,Kansas,Marion County,328,12215,0.87804878,0.12195122,0,90.1,19.5,0.883778315
Kansas Marsh,Kansas,Marshall County,402,9965,0.880597015,0.119402985,0,69.9,0,0.883778315
Kansas Meade,Kansas,Meade County,85,4310,0.988235294,0.011764706,0,33.7,0,0.883778315
Kansas Miami,Kansas,Miami County,326,32785,0.935582822,0.064417178,0,73.8,0,0.883778315
Kansas Mitch,Kansas,Mitchell County,262,6300,0.961832061,0.038167939,0,56.6,0,0.883778315
Kansas Montg,Kansas,Montgomery County,321,33765,0.943925234,0.056074766,0,102.9,0,0.883778315
Kansas Morri,Kansas,Morris County,184,5695,0.89673913,0.10326087,0,25.9,0,0.883778315
Kansas Morto,Kansas,Morton County,17,3035,1,0,0,21.8,0,0.883778315
Kansas Nemah,Kansas,Nemaha County,357,10175,0.915966387,0.084033613,0,27.7,0,0.883778315
Kansas Neosh,Kansas,Neosho County,243,16360,0.942386831,0.057613169,0,51.3,0,0.883778315
Kansas Norto,Kansas,Norton County,248,5560,0.97983871,0.02016129,0,49.3,0,0.883778315
Kansas Osage,Kansas,Osage County,306,16000,0.934640523,0.065359477,0,60.6,32.3,0.883778315
Kansas Osbor,Kansas,Osborne County,242,3745,0.91322314,0.08677686,0,28.5,0,0.883778315
Kansas Ottaw,Kansas,Ottawa County,297,6005,0.956228956,0.043771044,0,35,0,0.883778315
Kansas Pawne,Kansas,Pawnee County,165,6840,0.987878788,0.012121212,0,44.5,0,0.883778315
Kansas Phill,Kansas,Phillips County,258,5485,0.84496124,0.15503876,0,41.2,0,0.883778315
Kansas Potta,Kansas,Pottawatomie County,304,22920,0.930921053,0.069078947,0,62.1,0,0.883778315
Kansas Pratt,Kansas,Pratt County,116,9730,0.99137931,0.00862069,0,62.6,0,0.883778315
Kansas Rawli,Kansas,Rawlins County,107,2555,0.85046729,0.14953271,0,38.3,0,0.883778315
Kansas Repub,Kansas,Republic County,273,4770,0.941391941,0.058608059,0,40.8,0,0.883778315
Kansas Riley,Kansas,Riley County,216,75025,0.921296296,0.078703704,1,14.5,0,0.883778315
Kansas Rooks,Kansas,Rooks County,170,5160,0.970588235,0.029411765,0,,,0.883778315
Kansas Russe,Kansas,Russell County,266,6990,0.992481203,0.007518797,0,32.6,0,0.883778315
Kansas Salin,Kansas,Saline County,380,55545,0.989473684,0.010526316,1,68.4,0,0.883778315
Kansas Scott,Kansas,Scott County,23,4960,1,0,0,42.1,0,0.883778315
Kansas Sedgw,Kansas,Sedgwick County,1310,508220,0.954961832,0.045038168,1,140.2,0,0.883778315
Kansas Sewar,Kansas,Seward County,13,23185,1,0,1,26.2,0,0.883778315
Kansas Shawn,Kansas,Shawnee County,556,178565,0.96942446,0.03057554,0,80.4,27.9,0.883778315
Kansas Sheri,Kansas,Sheridan County,120,2520,0.858333333,0.141666667,0,12.5,0,0.883778315
Kansas Sherm,Kansas,Sherman County,106,6040,0.952830189,0.047169811,0,35.1,0,0.883778315
Kansas Smith,Kansas,Smith County,290,3700,0.868965517,0.131034483,0,30.9,0,0.883778315
Kansas Staff,Kansas,Stafford County,120,4285,0.991666667,0.008333333,0,30.4,30.4,0.883778315
Kansas Stant,Kansas,Stanton County,21,2115,1,0,0,29.4,0,0.883778315
Kansas Steve,Kansas,Stevens County,3,5740,1,0,0,31.1,0,0.883778315
Kansas Sumne,Kansas,Sumner County,668,23510,0.989520958,0.010479042,0,124.3,0,0.883778315
Kansas Thoma,Kansas,Thomas County,82,7910,0.987804878,0.012195122,0,58,0,0.883778315
Kansas Trego,Kansas,Trego County,169,2925,0.940828402,0.059171598,0,32.7,0,0.883778315
Kansas Wabau,Kansas,Wabaunsee County,244,6960,0.901639344,0.098360656,0,36.7,0,0.883778315
Kansas Walla,Kansas,Wallace County,46,1585,1,0,0,31.5,0,0.883778315
Kansas Washi,Kansas,Washington County,330,5615,0.957575758,0.042424242,0,16.1,0,0.883778315
Kansas Wichi,Kansas,Wichita County,22,2170,1,0,0,23.7,0,0.883778315
Kansas Wilso,Kansas,Wilson County,209,8955,0.870813397,0.129186603,0,55.7,0,0.883778315
Kansas Woods,Kansas,Woodson County,143,3185,0.909090909,0.090909091,,22.2,0,0.883778315
Kansas Wyand,Kansas,Wyandotte County,322,161775,0.97515528,0.02484472,0,80.1,12,0.883778315
Kentucky Adair,Kentucky,Adair County,138,19155,0.992753623,0.007246377,0,,,0.920222177
Kentucky Allen,Kentucky,Allen County,87,20420,0.942528736,0.057471264,,,,0.920222177
Kentucky Ander,Kentucky,Anderson County,81,21865,0.950617284,0.049382716,0,17.6,0,0.920222177
Kentucky Balla,Kentucky,Ballard County,86,8215,0.918604651,0.081395349,,13,13,0.920222177
Kentucky Barre,Kentucky,Barren County,146,43285,0.979452055,0.020547945,0,18.5,0,0.920222177
Kentucky Boone,Kentucky,Boone County,129,125655,0.992248062,0.007751938,1,18.5,0,0.920222177
Kentucky Bourb,Kentucky,Bourbon County,114,20005,0.964912281,0.035087719,0,29.1,0,0.920222177
Kentucky Boyle,Kentucky,Boyle County,88,29650,0.954545455,0.045454545,0,12.8,0,0.920222177
Kentucky Brack,Kentucky,Bracken County,47,8405,0.829787234,0.170212766,,19.3,19.3,0.920222177
Kentucky Breat,Kentucky,Breathitt County,122,13475,0.93442623,0.06557377,0,44,0,0.920222177
Kentucky Breck,Kentucky,Breckinridge County,91,20000,0.978021978,0.021978022,0,29.5,0,0.920222177
Kentucky Bulli,Kentucky,Bullitt County,97,77725,0.948453608,0.051546392,0,34.9,5.7,0.920222177
Kentucky Butle,Kentucky,Butler County,98,12830,0.959183673,0.040816327,,,,0.920222177
Kentucky Caldw,Kentucky,Caldwell County,115,12760,0.956521739,0.043478261,0,29.7,0,0.920222177
Kentucky Callo,Kentucky,Calloway County,208,38300,0.932692308,0.067307692,0,11.4,0,0.920222177
Kentucky Carli,Kentucky,Carlisle County,75,4955,0.986666667,0.013333333,0,12.4,12.4,0.920222177
Kentucky Carro,Kentucky,Carroll County,68,10775,0.897058824,0.102941176,0,32.5,0,0.920222177
Kentucky Carte,Kentucky,Carter County,185,27290,0.913513514,0.086486486,0,,,0.920222177
Kentucky Casey,Kentucky,Casey County,140,15930,0.907142857,0.092857143,0,,,0.920222177
Kentucky Chris,Kentucky,Christian County,301,73935,0.966777409,0.033222591,0,50,0,0.920222177
Kentucky Clark,Kentucky,Clark County,118,35705,0.974576271,0.025423729,0,38.2,0,0.920222177
Kentucky Clint,Kentucky,Clinton County,39,10170,0.974358974,0.025641026,0,,,0.920222177
Kentucky Critt,Kentucky,Crittenden County,90,9210,0.922222222,0.077777778,0,,,0.920222177
Kentucky Cumbe,Kentucky,Cumberland County,87,6780,0.954022989,0.045977011,0,,,0.920222177
Kentucky Davie,Kentucky,Daviess County,282,98725,0.964539007,0.035460993,1,26.4,0,0.920222177
Kentucky Edmon,Kentucky,Edmonson County,38,12085,0.894736842,0.105263158,0,4.3,0,0.920222177
Kentucky Ellio,Kentucky,Elliott County,55,7660,0.854545455,0.145454545,,,,0.920222177
Kentucky Estil,Kentucky,Estill County,49,14405,0.918367347,0.081632653,,22.9,0,0.920222177
Kentucky Fayet,Kentucky,Fayette County,198,311530,0.949494949,0.050505051,1,49.7,0,0.920222177
Kentucky Flemi,Kentucky,Fleming County,118,14545,0.923728814,0.076271186,0,9.5,0,0.920222177
Kentucky Floyd,Kentucky,Floyd County,156,38145,0.916666667,0.083333333,0,63.9,0,0.920222177
Kentucky Frank,Kentucky,Franklin County,120,49980,0.841666667,0.158333333,0,15.6,0,0.920222177
Kentucky Fulto,Kentucky,Fulton County,95,6325,0.915789474,0.084210526,0,23,7.4,0.920222177
Kentucky Galla,Kentucky,Gallatin County,54,8545,0.962962963,0.037037037,0,13.6,0,0.920222177
Kentucky Garra,Kentucky,Garrard County,67,17050,0.925373134,0.074626866,0,,,0.920222177
Kentucky Grant,Kentucky,Grant County,79,24705,0.860759494,0.139240506,0,29.8,0,0.920222177
Kentucky Grave,Kentucky,Graves County,381,37380,0.934383202,0.065616798,0,37.4,0,0.920222177
Kentucky Grays,Kentucky,Grayson County,115,26090,0.965217391,0.034782609,0,33.6,0,0.920222177
Kentucky Hanco,Kentucky,Hancock County,70,8715,0.957142857,0.042857143,0,24,0,0.920222177
Kentucky Hardi,Kentucky,Hardin County,222,107575,0.986486486,0.013513514,0,77.6,0,0.920222177
Kentucky Harla,Kentucky,Harlan County,254,28030,0.787401575,0.212598425,0,94.8,0,0.920222177
Kentucky Harri,Kentucky,Harrison County,151,18630,0.953642384,0.046357616,0,21.4,0,0.920222177
Kentucky Hende,Kentucky,Henderson County,183,46360,0.93442623,0.06557377,0,41.2,0,0.920222177
Kentucky Henry,Kentucky,Henry County,94,15530,0.882978723,0.117021277,0,15.5,0,0.920222177
Kentucky Hickm,Kentucky,Hickman County,122,4690,0.926229508,0.073770492,0,23.9,13.7,0.920222177
Kentucky Hopki,Kentucky,Hopkins County,249,46360,0.919678715,0.080321285,0,97.3,0,0.920222177
Kentucky Jacks,Kentucky,Jackson County,52,13355,0.942307692,0.057692308,0,,,0.920222177
Kentucky Jeffe,Kentucky,Jefferson County,655,759725,0.916030534,0.083969466,1,139.7,0,0.920222177
Kentucky Jessa,Kentucky,Jessamine County,56,51015,0.964285714,0.035714286,0,16.1,0,0.920222177
Kentucky Johns,Kentucky,Johnson County,99,23280,0.96969697,0.03030303,0,29.9,0,0.920222177
Kentucky Kento,Kentucky,Kenton County,141,163395,0.95035461,0.04964539,0,56.3,2.4,0.920222177
Kentucky Knott,Kentucky,Knott County,115,15885,0.904347826,0.095652174,,25.2,0,0.920222177
Kentucky Larue,Kentucky,Larue County,54,14125,0.925925926,0.074074074,0,4.5,3,0.920222177
Kentucky Laure,Kentucky,Laurel County,136,59950,0.875,0.125,0,27.6,0,0.920222177
Kentucky Lawre,Kentucky,Lawrence County,103,15870,0.922330097,0.077669903,,36.8,0,0.920222177
Kentucky Lesli,Kentucky,Leslie County,111,10870,0.675675676,0.324324324,0,,,0.920222177
Kentucky Letch,Kentucky,Letcher County,159,23380,0.855345912,0.144654088,0,34.9,0,0.920222177
Kentucky Lewis,Kentucky,Lewis County,143,13645,0.944055944,0.055944056,,41.6,41.6,0.920222177
Kentucky Linco,Kentucky,Lincoln County,136,24425,0.948529412,0.051470588,0,24,0,0.920222177
Kentucky Livin,Kentucky,Livingston County,105,9355,0.971428571,0.028571429,0,3.2,0,0.920222177
Kentucky Logan,Kentucky,Logan County,133,26755,0.984962406,0.015037594,0,38.3,0,0.920222177
Kentucky McCra,Kentucky,McCracken County,202,65290,0.925742574,0.074257426,1,61.8,0,0.920222177
Kentucky McCre,Kentucky,McCreary County,38,17850,0.842105263,0.157894737,0,33.4,8.1,0.920222177
Kentucky McLea,Kentucky,McLean County,75,9490,0.92,0.08,0,,,0.920222177
Kentucky Madis,Kentucky,Madison County,157,87325,0.942675159,0.057324841,0,28,0,0.920222177
Kentucky Magof,Kentucky,Magoffin County,102,12885,0.950980392,0.049019608,,13.7,0,0.920222177
Kentucky Mario,Kentucky,Marion County,147,19495,0.959183673,0.040816327,0,,,0.920222177
Kentucky Marsh,Kentucky,Marshall County,205,31215,0.956097561,0.043902439,0,18,0,0.920222177
Kentucky Marti,Kentucky,Martin County,68,12480,0.897058824,0.102941176,0,23.4,0,0.920222177
Kentucky Mason,Kentucky,Mason County,100,17230,0.9,0.1,0,33.6,19.3,0.920222177
Kentucky Meade,Kentucky,Meade County,25,28750,0.8,0.2,,24,0,0.920222177
Kentucky Menif,Kentucky,Menifee County,46,6345,1,0,,,,0.920222177
Kentucky Merce,Kentucky,Mercer County,73,21410,0.945205479,0.054794521,0,28.1,0,0.920222177
Kentucky Metca,Kentucky,Metcalfe County,77,9985,0.974025974,0.025974026,,,,0.920222177
Kentucky Monro,Kentucky,Monroe County,67,10690,0.955223881,0.044776119,0,,,0.920222177
Kentucky Montg,Kentucky,Montgomery County,74,27390,0.932432432,0.067567568,0,,,0.920222177
Kentucky Morga,Kentucky,Morgan County,109,13380,0.95412844,0.04587156,0,,,0.920222177
Kentucky Muhle,Kentucky,Muhlenberg County,156,31215,0.961538462,0.038461538,0,50.5,0,0.920222177
Kentucky Nelso,Kentucky,Nelson County,151,44875,0.900662252,0.099337748,0,20,17,0.920222177
Kentucky Nicho,Kentucky,Nicholas County,81,7060,0.950617284,0.049382716,0,15.7,0,0.920222177
Kentucky Oldha,Kentucky,Oldham County,67,63875,0.820895522,0.179104478,0,14.6,0,0.920222177
Kentucky Owsle,Kentucky,Owsley County,54,4550,0.962962963,0.037037037,,,,0.920222177
Kentucky Pendl,Kentucky,Pendleton County,93,14510,0.935483871,0.064516129,0,28.7,3.4,0.920222177
Kentucky Perry,Kentucky,Perry County,151,27820,0.940397351,0.059602649,0,62.8,0,0.920222177
Kentucky Powel,Kentucky,Powell County,107,12385,0.962616822,0.037383178,0,,,0.920222177
Kentucky Pulas,Kentucky,Pulaski County,176,63770,0.977272727,0.022727273,0,31.8,0,0.920222177
Kentucky Rober,Kentucky,Robertson County,23,2190,1,0,,,,0.920222177
Kentucky Rockc,Kentucky,Rockcastle County,92,16895,0.989130435,0.010869565,0,31.8,0,0.920222177
Kentucky Rowan,Kentucky,Rowan County,129,24300,0.953488372,0.046511628,0,,,0.920222177
Kentucky Russe,Kentucky,Russell County,47,17685,0.957446809,0.042553191,0,,,0.920222177
Kentucky Scott,Kentucky,Scott County,183,51350,0.956284153,0.043715847,0,26.6,0,0.920222177
Kentucky Shelb,Kentucky,Shelby County,136,44965,0.911764706,0.088235294,0,56.1,0,0.920222177
Kentucky Simps,Kentucky,Simpson County,48,17855,0.916666667,0.083333333,0,13.3,0,0.920222177
Kentucky Spenc,Kentucky,Spencer County,57,17800,0.877192982,0.122807018,0,,,0.920222177
Kentucky Taylo,Kentucky,Taylor County,90,25315,0.977777778,0.022222222,0,,,0.920222177
Kentucky Trigg,Kentucky,Trigg County,105,14265,0.923809524,0.076190476,0,,,0.920222177
Kentucky Trimb,Kentucky,Trimble County,43,8750,0.906976744,0.093023256,0,0.2,0,0.920222177
Kentucky Union,Kentucky,Union County,127,15065,0.937007874,0.062992126,0,2.8,0,0.920222177
Kentucky Warre,Kentucky,Warren County,104,121065,0.971153846,0.028846154,0,39,0,0.920222177
Kentucky Washi,Kentucky,Washington County,98,12015,0.908163265,0.091836735,0,,,0.920222177
Kentucky Wayne,Kentucky,Wayne County,75,20555,0.866666667,0.133333333,0,,,0.920222177
Kentucky Webst,Kentucky,Webster County,145,13330,0.937931034,0.062068966,0,35.6,0,0.920222177
Kentucky Whitl,Kentucky,Whitley County,152,35840,0.894736842,0.105263158,0,52.7,0,0.920222177
Kentucky Wolfe,Kentucky,Wolfe County,73,7220,0.904109589,0.095890411,,,,0.920222177
Kentucky Woodf,Kentucky,Woodford County,61,25590,0.967213115,0.032786885,0,18.9,2.8,0.920222177
Louisiana Acadi,Louisiana,Acadia Parish,302,62370,0.913907285,0.086092715,0,44,23.7,0.743835895
Louisiana Allen,Louisiana,Allen Parish,183,25620,0.863387978,0.136612022,0,57.5,0,0.743835895
Louisiana Ascen,Louisiana,Ascension Parish,212,117010,0.886792453,0.113207547,0,43.5,0,0.743835895
Louisiana Assum,Louisiana,Assumption Parish,68,22975,0.941176471,0.058823529,0,5.1,3.1,0.743835895
Louisiana Avoye,Louisiana,Avoyelles Parish,161,41250,0.695652174,0.304347826,0,44.6,0,0.743835895
Louisiana Beaur,Louisiana,Beauregard Parish,226,36435,0.907079646,0.092920354,0,82.1,0,0.743835895
Louisiana Bienv,Louisiana,Bienville Parish,190,13925,0.726315789,0.273684211,0,57.9,0,0.743835895
Louisiana Bossi,Louisiana,Bossier Parish,280,124720,0.764285714,0.235714286,0,98.1,0,0.743835895
Louisiana Caddo,Louisiana,Caddo Parish,688,253125,0.918604651,0.081395349,1,142.1,0,0.743835895
Louisiana Calca,Louisiana,Calcasieu Parish,456,197235,0.921052632,0.078947368,1,136.7,44.2,0.743835895
Louisiana Caldw,Louisiana,Caldwell Parish,140,9995,0.871428571,0.128571429,0,28.2,0,0.743835895
Louisiana Camer,Louisiana,Cameron Parish,59,6740,0.847457627,0.152542373,0,,,0.743835895
Louisiana Catah,Louisiana,Catahoula Parish,72,10145,0.930555556,0.069444444,0,,,0.743835895
Louisiana Claib,Louisiana,Claiborne Parish,155,16450,0.696774194,0.303225806,0,33.6,0,0.743835895
Louisiana Conco,Louisiana,Concordia Parish,42,20290,0.857142857,0.142857143,0,,,0.743835895
Louisiana De So,Louisiana,De Soto Parish,206,27045,0.888349515,0.111650485,0,74.8,0,0.743835895
Louisiana Evang,Louisiana,Evangeline Parish,165,33765,0.933333333,0.066666667,0,30.2,0,0.743835895
Louisiana Frank,Louisiana,Franklin Parish,143,20465,0.944055944,0.055944056,0,,,0.743835895
Louisiana Grant,Louisiana,Grant Parish,218,22370,0.839449541,0.160550459,0,85.9,0,0.743835895
Louisiana Iberi,Louisiana,Iberia Parish,145,73800,0.903448276,0.096551724,0,45.3,17.5,0.743835895
Louisiana Iberv,Louisiana,Iberville Parish,81,33160,0.87654321,0.12345679,0,35,0,0.743835895
Louisiana Jacks,Louisiana,Jackson Parish,165,16000,0.915151515,0.084848485,0,12.8,0,0.743835895
Louisiana Lafay,Louisiana,Lafayette Parish,316,234965,0.879746835,0.120253165,1,24.3,20.9,0.743835895
Louisiana Lafou,Louisiana,Lafourche Parish,132,97690,0.818181818,0.181818182,0,37.1,22.6,0.743835895
Louisiana Linco,Louisiana,Lincoln Parish,178,47480,0.814606742,0.185393258,0,27.2,0,0.743835895
Louisiana Livin,Louisiana,Livingston Parish,255,135925,0.91372549,0.08627451,0,24.4,0,0.743835895
Louisiana Madis,Louisiana,Madison Parish,108,11805,0.898148148,0.101851852,0,44.3,0,0.743835895
Louisiana Moreh,Louisiana,Morehouse Parish,146,26740,0.794520548,0.205479452,0,65.9,0,0.743835895
Louisiana Natch,Louisiana,Natchitoches Parish,321,39260,0.825545171,0.174454829,0,67.6,0,0.743835895
Louisiana Orlea,Louisiana,Orleans Parish,394,382920,0.898477157,0.101522843,0,86.2,55.9,0.743835895
Louisiana Ouach,Louisiana,Ouachita Parish,342,156400,0.84502924,0.15497076,1,92.8,0,0.743835895
Louisiana Plaqu,Louisiana,Plaquemines Parish,37,23585,0.891891892,0.108108108,0,19.9,0,0.743835895
Louisiana Point,Louisiana,Pointe Coupee Parish,52,22365,0.730769231,0.269230769,0,87.4,0,0.743835895
Louisiana Rapid,Louisiana,Rapides Parish,531,132375,0.911487759,0.088512241,1,144.8,0,0.743835895
Louisiana Red R,Louisiana,Red River Parish,66,8755,0.636363636,0.363636364,0,58.7,0,0.743835895
Louisiana Richl,Louisiana,Richland Parish,214,20690,0.864485981,0.135514019,0,26.4,0,0.743835895
Louisiana Sabin,Louisiana,Sabine Parish,201,24145,0.885572139,0.114427861,0,45.7,0,0.743835895
Louisiana St. B,Louisiana,St. Bernard Parish,29,44090,0.862068966,0.137931034,0,16.2,0,0.743835895
Louisiana St. C,Louisiana,St. Charles Parish,83,52710,0.987951807,0.012048193,0,71.8,25.3,0.743835895
Louisiana St. H,Louisiana,St. Helena Parish,140,10715,0.907142857,0.092857143,0,,,0.743835895
Louisiana St. L,Louisiana,St. Landry Parish,325,83700,0.898461538,0.101538462,0,83.7,0,0.743835895
Louisiana St. T,Louisiana,St. Tammany Parish,356,246270,0.921348315,0.078651685,0,30.7,27.7,0.743835895
Louisiana Tangi,Louisiana,Tangipahoa Parish,486,127115,0.855967078,0.144032922,0,58.9,50.6,0.743835895
Louisiana Tensa,Louisiana,Tensas Parish,53,4795,0.962264151,0.037735849,0,,,0.743835895
Louisiana Terre,Louisiana,Terrebonne Parish,214,113100,0.88317757,0.11682243,0,15.6,15.6,0.743835895
Louisiana Union,Louisiana,Union Parish,122,22460,0.918032787,0.081967213,0,,,0.743835895
Louisiana Vermi,Louisiana,Vermilion Parish,264,59525,0.90530303,0.09469697,0,8.8,0,0.743835895
Louisiana Verno,Louisiana,Vernon Parish,342,52100,0.918128655,0.081871345,0,41,0,0.743835895
Louisiana Washi,Louisiana,Washington Parish,289,46365,0.941176471,0.058823529,0,18.4,0,0.743835895
Louisiana Webst,Louisiana,Webster Parish,195,40335,0.728205128,0.271794872,0,62.7,0,0.743835895
Louisiana Winn ,Louisiana,Winn Parish,222,14695,0.828828829,0.171171171,0,40.4,0,0.743835895
Maine Andro,Maine,Androscoggin County,132,107375,0.924242424,0.075757576,0,58.1,0,0.776837947
Maine Aroos,Maine,Aroostook County,223,69405,0.923766816,0.076233184,1,249.8,0,0.776837947
Maine Cumbe,Maine,Cumberland County,336,288205,0.919642857,0.080357143,1,68.9,42,0.776837947
Maine Frank,Maine,Franklin County,129,30270,0.798449612,0.201550388,0,16.4,0,0.776837947
Maine Hanco,Maine,Hancock County,70,54485,0.8,0.2,1,8.7,0,0.776837947
Maine Kenne,Maine,Kennebec County,186,120955,0.88172043,0.11827957,1,68.9,0,0.776837947
Maine Linco,Maine,Lincoln County,60,34165,0.883333333,0.116666667,0,28.8,0,0.776837947
Maine Oxfor,Maine,Oxford County,250,57300,0.82,0.18,0,64.5,0,0.776837947
Maine Penob,Maine,Penobscot County,294,152980,0.870748299,0.129251701,1,229,0,0.776837947
Maine Pisca,Maine,Piscataquis County,77,17045,0.844155844,0.155844156,0,97.5,0,0.776837947
Maine Sagad,Maine,Sagadahoc County,65,35135,0.861538462,0.138461538,0,17.6,0,0.776837947
Maine Somer,Maine,Somerset County,169,51365,0.822485207,0.177514793,0,70,0,0.776837947
Maine Waldo,Maine,Waldo County,92,39070,0.869565217,0.130434783,0,26,0,0.776837947
Maine Washi,Maine,Washington County,106,31925,0.754716981,0.245283019,0,34.3,0,0.776837947
Maryland Alleg,Maryland,Allegany County,244,73060,0.930327869,0.069672131,0,63.5,29.4,0.880315818
Maryland Anne ,Maryland,Anne Arundel County,376,559735,0.992021277,0.007978723,1,25.3,21.5,0.880315818
Maryland Calve,Maryland,Calvert County,31,90525,0.967741935,0.032258065,0,,,0.880315818
Maryland Carol,Maryland,Caroline County,71,32655,0.929577465,0.070422535,0,5.6,0,0.880315818
Maryland Carro,Maryland,Carroll County,204,167535,0.941176471,0.058823529,0,63.3,0,0.880315818
